environment | time (ms),fast_sodium_current | i_Na (uA_per_mm2),L_type_Ca_channel | i_CaCa (uA_per_mm2),L_type_Ca_channel | i_CaK (uA_per_mm2),membrane | V (mV),plateau_potassium_current | i_Kp (uA_per_mm2),time_dependent_potassium_current | i_K (uA_per_mm2),time_independent_potassium_current | i_K1 (uA_per_mm2)
388.78,-2.71334e-08,-1.60599e-05,5.24608e-11,-87.4297,3.30665e-12,-0.000586637,0.000623687
388.79,-2.71332e-08,-1.60599e-05,5.24531e-11,-87.4298,3.30615e-12,-0.000586548,0.000623595
388.8,-2.71329e-08,-1.606e-05,5.24455e-11,-87.4298,3.30565e-12,-0.000586459,0.000623503
388.81,-2.71326e-08,-1.606e-05,5.24378e-11,-87.4298,3.30514e-12,-0.000586371,0.000623412
388.82,-2.71323e-08,-1.606e-05,5.24301e-11,-87.4298,3.30464e-12,-0.000586282,0.00062332
388.83,-2.71321e-08,-1.60601e-05,5.24225e-11,-87.4298,3.30414e-12,-0.000586193,0.000623228
388.84,-2.71318e-08,-1.60601e-05,5.24148e-11,-87.4299,3.30364e-12,-0.000586104,0.000623136
388.85,-2.71315e-08,-1.60602e-05,5.24071e-11,-87.4299,3.30314e-12,-0.000586016,0.000623044
388.86,-2.71312e-08,-1.60602e-05,5.23995e-11,-87.4299,3.30264e-12,-0.000585927,0.000622953
388.87,-2.7131e-08,-1.60602e-05,5.23918e-11,-87.4299,3.30213e-12,-0.000585839,0.000622861
388.88,-2.71307e-08,-1.60603e-05,5.23841e-11,-87.4299,3.30163e-12,-0.00058575,0.000622769
388.89,-2.71304e-08,-1.60603e-05,5.23765e-11,-87.43,3.30113e-12,-0.000585661,0.000622677
388.9,-2.71302e-08,-1.60603e-05,5.23688e-11,-87.43,3.30063e-12,-0.000585573,0.000622586
388.91,-2.71299e-08,-1.60604e-05,5.23612e-11,-87.43,3.30013e-12,-0.000585484,0.000622494
388.92,-2.71296e-08,-1.60604e-05,5.23535e-11,-87.43,3.29963e-12,-0.000585396,0.000622402
388.93,-2.71293e-08,-1.60605e-05,5.23458e-11,-87.43,3.29913e-12,-0.000585307,0.000622311
388.94,-2.71291e-08,-1.60605e-05,5.23382e-11,-87.4301,3.29863e-12,-0.000585219,0.000622219
388.95,-2.71288e-08,-1.60605e-05,5.23305e-11,-87.4301,3.29813e-12,-0.00058513,0.000622127
388.96,-2.71285e-08,-1.60606e-05,5.23229e-11,-87.4301,3.29763e-12,-0.000585042,0.000622036
388.97,-2.71282e-08,-1.60606e-05,5.23152e-11,-87.4301,3.29713e-12,-0.000584953,0.000621944
388.98,-2.7128e-08,-1.60607e-05,5.23076e-11,-87.4302,3.29663e-12,-0.000584865,0.000621853
388.99,-2.71277e-08,-1.60607e-05,5.22999e-11,-87.4302,3.29613e-12,-0.000584776,0.000621761
389,-2.71274e-08,-1.60607e-05,5.22923e-11,-87.4302,3.29562e-12,-0.000584688,0.00062167
389.01,-2.71272e-08,-1.60608e-05,5.22846e-11,-87.4302,3.29512e-12,-0.000584599,0.000621578
389.02,-2.71269e-08,-1.60608e-05,5.2277e-11,-87.4302,3.29462e-12,-0.000584511,0.000621486
389.03,-2.71266e-08,-1.60609e-05,5.22693e-11,-87.4303,3.29412e-12,-0.000584422,0.000621395
389.04,-2.71263e-08,-1.60609e-05,5.22617e-11,-87.4303,3.29362e-12,-0.000584334,0.000621303
389.05,-2.71261e-08,-1.60609e-05,5.22541e-11,-87.4303,3.29312e-12,-0.000584246,0.000621212
389.06,-2.71258e-08,-1.6061e-05,5.22464e-11,-87.4303,3.29262e-12,-0.000584157,0.00062112
389.07,-2.71255e-08,-1.6061e-05,5.22388e-11,-87.4303,3.29212e-12,-0.000584069,0.000621029
389.08,-2.71253e-08,-1.60611e-05,5.22311e-11,-87.4304,3.29163e-12,-0.00058398,0.000620937
389.09,-2.7125e-08,-1.60611e-05,5.22235e-11,-87.4304,3.29113e-12,-0.000583892,0.000620846
389.1,-2.71247e-08,-1.60611e-05,5.22158e-11,-87.4304,3.29063e-12,-0.000583804,0.000620755
389.11,-2.71245e-08,-1.60612e-05,5.22082e-11,-87.4304,3.29013e-12,-0.000583715,0.000620663
389.12,-2.71242e-08,-1.60612e-05,5.22006e-11,-87.4304,3.28963e-12,-0.000583627,0.000620572
389.13,-2.71239e-08,-1.60613e-05,5.21929e-11,-87.4305,3.28913e-12,-0.000583539,0.00062048
389.14,-2.71236e-08,-1.60613e-05,5.21853e-11,-87.4305,3.28863e-12,-0.000583451,0.000620389
389.15,-2.71234e-08,-1.60613e-05,5.21777e-11,-87.4305,3.28813e-12,-0.000583362,0.000620298
389.16,-2.71231e-08,-1.60614e-05,5.217e-11,-87.4305,3.28763e-12,-0.000583274,0.000620206
389.17,-2.71228e-08,-1.60614e-05,5.21624e-11,-87.4305,3.28713e-12,-0.000583186,0.000620115
389.18,-2.71226e-08,-1.60615e-05,5.21548e-11,-87.4306,3.28663e-12,-0.000583098,0.000620024
389.19,-2.71223e-08,-1.60615e-05,5.21472e-11,-87.4306,3.28613e-12,-0.000583009,0.000619932
389.2,-2.7122e-08,-1.60615e-05,5.21395e-11,-87.4306,3.28564e-12,-0.000582921,0.000619841
389.21,-2.71218e-08,-1.60616e-05,5.21319e-11,-87.4306,3.28514e-12,-0.000582833,0.00061975
389.22,-2.71215e-08,-1.60616e-05,5.21243e-11,-87.4307,3.28464e-12,-0.000582745,0.000619658
389.23,-2.71212e-08,-1.60616e-05,5.21167e-11,-87.4307,3.28414e-12,-0.000582657,0.000619567
389.24,-2.71209e-08,-1.60617e-05,5.2109e-11,-87.4307,3.28364e-12,-0.000582569,0.000619476
389.25,-2.71207e-08,-1.60617e-05,5.21014e-11,-87.4307,3.28314e-12,-0.000582481,0.000619385
389.26,-2.71204e-08,-1.60618e-05,5.20938e-11,-87.4307,3.28264e-12,-0.000582392,0.000619294
389.27,-2.71201e-08,-1.60618e-05,5.20862e-11,-87.4308,3.28215e-12,-0.000582304,0.000619202
389.28,-2.71199e-08,-1.60618e-05,5.20785e-11,-87.4308,3.28165e-12,-0.000582216,0.000619111
389.29,-2.71196e-08,-1.60619e-05,5.20709e-11,-87.4308,3.28115e-12,-0.000582128,0.00061902
389.3,-2.71193e-08,-1.60619e-05,5.20633e-11,-87.4308,3.28065e-12,-0.00058204,0.000618929
389.31,-2.71191e-08,-1.6062e-05,5.20557e-11,-87.4308,3.28015e-12,-0.000581952,0.000618838
389.32,-2.71188e-08,-1.6062e-05,5.20481e-11,-87.4309,3.27966e-12,-0.000581864,0.000618747
389.33,-2.71185e-08,-1.6062e-05,5.20405e-11,-87.4309,3.27916e-12,-0.000581776,0.000618655
389.34,-2.71183e-08,-1.60621e-05,5.20329e-11,-87.4309,3.27866e-12,-0.000581688,0.000618564
389.35,-2.7118e-08,-1.60621e-05,5.20253e-11,-87.4309,3.27816e-12,-0.0005816,0.000618473
389.36,-2.71177e-08,-1.60622e-05,5.20176e-11,-87.4309,3.27767e-12,-0.000581512,0.000618382
389.37,-2.71174e-08,-1.60622e-05,5.201e-11,-87.431,3.27717e-12,-0.000581424,0.000618291
389.38,-2.71172e-08,-1.60622e-05,5.20024e-11,-87.431,3.27667e-12,-0.000581336,0.0006182
389.39,-2.71169e-08,-1.60623e-05,5.19948e-11,-87.431,3.27617e-12,-0.000581248,0.000618109
389.4,-2.71166e-08,-1.60623e-05,5.19872e-11,-87.431,3.27568e-12,-0.00058116,0.000618018
389.41,-2.71163e-08,-1.60624e-05,5.19796e-11,-87.431,3.27518e-12,-0.000581072,0.000617927
389.42,-2.71161e-08,-1.60624e-05,5.1972e-11,-87.4311,3.27468e-12,-0.000580984,0.000617836
389.43,-2.71158e-08,-1.60624e-05,5.19644e-11,-87.4311,3.27419e-12,-0.000580897,0.000617745
389.44,-2.71155e-08,-1.60625e-05,5.19568e-11,-87.4311,3.27369e-12,-0.000580809,0.000617654
389.45,-2.71152e-08,-1.60625e-05,5.19492e-11,-87.4311,3.27319e-12,-0.000580721,0.000617563
389.46,-2.7115e-08,-1.60625e-05,5.19416e-11,-87.4312,3.2727e-12,-0.000580633,0.000617472
389.47,-2.71147e-08,-1.60626e-05,5.1934e-11,-87.4312,3.2722e-12,-0.000580545,0.000617381
389.48,-2.71144e-08,-1.60626e-05,5.19264e-11,-87.4312,3.2717e-12,-0.000580457,0.00061729
389.49,-2.71142e-08,-1.60627e-05,5.19188e-11,-87.4312,3.27121e-12,-0.000580369,0.000617199
389.5,-2.71139e-08,-1.60627e-05,5.19112e-11,-87.4312,3.27071e-12,-0.000580282,0.000617108
389.51,-2.71136e-08,-1.60627e-05,5.19036e-11,-87.4313,3.27021e-12,-0.000580194,0.000617018
389.52,-2.71133e-08,-1.60628e-05,5.1896e-11,-87.4313,3.26972e-12,-0.000580106,0.000616927
389.53,-2.71131e-08,-1.60628e-05,5.18884e-11,-87.4313,3.26922e-12,-0.000580018,0.000616836
389.54,-2.71128e-08,-1.60629e-05,5.18809e-11,-87.4313,3.26873e-12,-0.000579931,0.000616745
389.55,-2.71125e-08,-1.60629e-05,5.18733e-11,-87.4313,3.26823e-12,-0.000579843,0.000616654
389.56,-2.71122e-08,-1.60629e-05,5.18657e-11,-87.4314,3.26773e-12,-0.000579755,0.000616563
389.57,-2.7112e-08,-1.6063e-05,5.18581e-11,-87.4314,3.26724e-12,-0.000579667,0.000616473
389.58,-2.71117e-08,-1.6063e-05,5.18505e-11,-87.4314,3.26674e-12,-0.00057958,0.000616382
389.59,-2.71114e-08,-1.60631e-05,5.18429e-11,-87.4314,3.26625e-12,-0.000579492,0.000616291
389.6,-2.71111e-08,-1.60631e-05,5.18353e-11,-87.4314,3.26575e-12,-0.000579404,0.0006162
389.61,-2.71109e-08,-1.60631e-05,5.18278e-11,-87.4315,3.26525e-12,-0.000579317,0.00061611
389.62,-2.71106e-08,-1.60632e-05,5.18202e-11,-87.4315,3.26476e-12,-0.000579229,0.000616019
389.63,-2.71103e-08,-1.60632e-05,5.18126e-11,-87.4315,3.26426e-12,-0.000579141,0.000615928
389.64,-2.711e-08,-1.60632e-05,5.1805e-11,-87.4315,3.26377e-12,-0.000579054,0.000615837
389.65,-2.71098e-08,-1.60633e-05,5.17974e-11,-87.4315,3.26327e-12,-0.000578966,0.000615747
389.66,-2.71095e-08,-1.60633e-05,5.17899e-11,-87.4316,3.26278e-12,-0.000578879,0.000615656
389.67,-2.71092e-08,-1.60634e-05,5.17823e-11,-87.4316,3.26228e-12,-0.000578791,0.000615565
389.68,-2.71089e-08,-1.60634e-05,5.17747e-11,-87.4316,3.26179e-12,-0.000578704,0.000615475
389.69,-2.71087e-08,-1.60634e-05,5.17671e-11,-87.4316,3.26129e-12,-0.000578616,0.000615384
389.7,-2.71084e-08,-1.60635e-05,5.17596e-11,-87.4316,3.2608e-12,-0.000578528,0.000615294
389.71,-2.71081e-08,-1.60635e-05,5.1752e-11,-87.4317,3.2603e-12,-0.000578441,0.000615203
389.72,-2.71078e-08,-1.60636e-05,5.17444e-11,-87.4317,3.25981e-12,-0.000578353,0.000615112
389.73,-2.71076e-08,-1.60636e-05,5.17369e-11,-87.4317,3.25931e-12,-0.000578266,0.000615022
389.74,-2.71073e-08,-1.60636e-05,5.17293e-11,-87.4317,3.25882e-12,-0.000578178,0.000614931
389.75,-2.7107e-08,-1.60637e-05,5.17217e-11,-87.4318,3.25833e-12,-0.000578091,0.000614841
389.76,-2.71068e-08,-1.60637e-05,5.17142e-11,-87.4318,3.25783e-12,-0.000578003,0.00061475
389.77,-2.71065e-08,-1.60637e-05,5.17066e-11,-87.4318,3.25734e-12,-0.000577916,0.00061466
389.78,-2.71062e-08,-1.60638e-05,5.1699e-11,-87.4318,3.25684e-12,-0.000577829,0.000614569
389.79,-2.71059e-08,-1.60638e-05,5.16915e-11,-87.4318,3.25635e-12,-0.000577741,0.000614479
389.8,-2.71057e-08,-1.60639e-05,5.16839e-11,-87.4319,3.25585e-12,-0.000577654,0.000614388
389.81,-2.71054e-08,-1.60639e-05,5.16763e-11,-87.4319,3.25536e-12,-0.000577566,0.000614298
389.82,-2.71051e-08,-1.60639e-05,5.16688e-11,-87.4319,3.25487e-12,-0.000577479,0.000614207
389.83,-2.71048e-08,-1.6064e-05,5.16612e-11,-87.4319,3.25437e-12,-0.000577392,0.000614117
389.84,-2.71046e-08,-1.6064e-05,5.16537e-11,-87.4319,3.25388e-12,-0.000577304,0.000614026
389.85,-2.71043e-08,-1.60641e-05,5.16461e-11,-87.432,3.25339e-12,-0.000577217,0.000613936
389.86,-2.7104e-08,-1.60641e-05,5.16386e-11,-87.432,3.25289e-12,-0.00057713,0.000613845
389.87,-2.71037e-08,-1.60641e-05,5.1631e-11,-87.432,3.2524e-12,-0.000577042,0.000613755
389.88,-2.71035e-08,-1.60642e-05,5.16235e-11,-87.432,3.25191e-12,-0.000576955,0.000613665
389.89,-2.71032e-08,-1.60642e-05,5.16159e-11,-87.432,3.25141e-12,-0.000576868,0.000613574
389.9,-2.71029e-08,-1.60642e-05,5.16084e-11,-87.4321,3.25092e-12,-0.00057678,0.000613484
389.91,-2.71027e-08,-1.60643e-05,5.16008e-11,-87.4321,3.25043e-12,-0.000576693,0.000613394
389.92,-2.71024e-08,-1.60643e-05,5.15933e-11,-87.4321,3.24993e-12,-0.000576606,0.000613303
389.93,-2.71021e-08,-1.60644e-05,5.15857e-11,-87.4321,3.24944e-12,-0.000576519,0.000613213
389.94,-2.71018e-08,-1.60644e-05,5.15782e-11,-87.4321,3.24895e-12,-0.000576431,0.000613123
389.95,-2.71016e-08,-1.60644e-05,5.15706e-11,-87.4322,3.24845e-12,-0.000576344,0.000613032
389.96,-2.71013e-08,-1.60645e-05,5.15631e-11,-87.4322,3.24796e-12,-0.000576257,0.000612942
389.97,-2.7101e-08,-1.60645e-05,5.15555e-11,-87.4322,3.24747e-12,-0.00057617,0.000612852
389.98,-2.71007e-08,-1.60646e-05,5.1548e-11,-87.4322,3.24698e-12,-0.000576083,0.000612762
389.99,-2.71005e-08,-1.60646e-05,5.15405e-11,-87.4322,3.24648e-12,-0.000575996,0.000612671
390,-2.71002e-08,-1.60646e-05,5.15329e-11,-87.4323,3.24599e-12,-0.000575908,0.000612581
390.01,-2.70999e-08,-1.60647e-05,5.15254e-11,-87.4323,3.2455e-12,-0.000575821,0.000612491
390.02,-2.70997e-08,-1.60647e-05,5.15178e-11,-87.4323,3.24501e-12,-0.000575734,0.000612401
390.03,-2.70994e-08,-1.60647e-05,5.15103e-11,-87.4323,3.24451e-12,-0.000575647,0.000612311
390.04,-2.70991e-08,-1.60648e-05,5.15028e-11,-87.4324,3.24402e-12,-0.00057556,0.000612221
390.05,-2.70988e-08,-1.60648e-05,5.14952e-11,-87.4324,3.24353e-12,-0.000575473,0.00061213
390.06,-2.70986e-08,-1.60649e-05,5.14877e-11,-87.4324,3.24304e-12,-0.000575386,0.00061204
390.07,-2.70983e-08,-1.60649e-05,5.14802e-11,-87.4324,3.24255e-12,-0.000575299,0.00061195
390.08,-2.7098e-08,-1.60649e-05,5.14726e-11,-87.4324,3.24205e-12,-0.000575212,0.00061186
390.09,-2.70978e-08,-1.6065e-05,5.14651e-11,-87.4325,3.24156e-12,-0.000575125,0.00061177
390.1,-2.70975e-08,-1.6065e-05,5.14576e-11,-87.4325,3.24107e-12,-0.000575038,0.00061168
390.11,-2.70972e-08,-1.60651e-05,5.14501e-11,-87.4325,3.24058e-12,-0.000574951,0.00061159
390.12,-2.70969e-08,-1.60651e-05,5.14425e-11,-87.4325,3.24009e-12,-0.000574864,0.0006115
390.13,-2.70967e-08,-1.60651e-05,5.1435e-11,-87.4325,3.2396e-12,-0.000574777,0.00061141
390.14,-2.70964e-08,-1.60652e-05,5.14275e-11,-87.4326,3.2391e-12,-0.00057469,0.00061132
390.15,-2.70961e-08,-1.60652e-05,5.142e-11,-87.4326,3.23861e-12,-0.000574603,0.00061123
390.16,-2.70958e-08,-1.60652e-05,5.14124e-11,-87.4326,3.23812e-12,-0.000574516,0.00061114
390.17,-2.70956e-08,-1.60653e-05,5.14049e-11,-87.4326,3.23763e-12,-0.000574429,0.00061105
390.18,-2.70953e-08,-1.60653e-05,5.13974e-11,-87.4326,3.23714e-12,-0.000574342,0.00061096
390.19,-2.7095e-08,-1.60654e-05,5.13899e-11,-87.4327,3.23665e-12,-0.000574255,0.00061087
390.2,-2.70948e-08,-1.60654e-05,5.13824e-11,-87.4327,3.23616e-12,-0.000574168,0.00061078
390.21,-2.70945e-08,-1.60654e-05,5.13748e-11,-87.4327,3.23567e-12,-0.000574081,0.00061069
390.22,-2.70942e-08,-1.60655e-05,5.13673e-11,-87.4327,3.23518e-12,-0.000573994,0.0006106
390.23,-2.70939e-08,-1.60655e-05,5.13598e-11,-87.4327,3.23469e-12,-0.000573908,0.00061051
390.24,-2.70937e-08,-1.60656e-05,5.13523e-11,-87.4328,3.23419e-12,-0.000573821,0.00061042
390.25,-2.70934e-08,-1.60656e-05,5.13448e-11,-87.4328,3.2337e-12,-0.000573734,0.00061033
390.26,-2.70931e-08,-1.60656e-05,5.13373e-11,-87.4328,3.23321e-12,-0.000573647,0.00061024
390.27,-2.70929e-08,-1.60657e-05,5.13298e-11,-87.4328,3.23272e-12,-0.00057356,0.000610151
390.28,-2.70926e-08,-1.60657e-05,5.13223e-11,-87.4328,3.23223e-12,-0.000573474,0.000610061
390.29,-2.70923e-08,-1.60657e-05,5.13147e-11,-87.4329,3.23174e-12,-0.000573387,0.000609971
390.3,-2.7092e-08,-1.60658e-05,5.13072e-11,-87.4329,3.23125e-12,-0.0005733,0.000609881
390.31,-2.70918e-08,-1.60658e-05,5.12997e-11,-87.4329,3.23076e-12,-0.000573213,0.000609791
390.32,-2.70915e-08,-1.60659e-05,5.12922e-11,-87.4329,3.23027e-12,-0.000573127,0.000609701
390.33,-2.70912e-08,-1.60659e-05,5.12847e-11,-87.4329,3.22978e-12,-0.00057304,0.000609612
390.34,-2.7091e-08,-1.60659e-05,5.12772e-11,-87.433,3.22929e-12,-0.000572953,0.000609522
390.35,-2.70907e-08,-1.6066e-05,5.12697e-11,-87.433,3.2288e-12,-0.000572866,0.000609432
390.36,-2.70904e-08,-1.6066e-05,5.12622e-11,-87.433,3.22831e-12,-0.00057278,0.000609342
390.37,-2.70901e-08,-1.6066e-05,5.12547e-11,-87.433,3.22782e-12,-0.000572693,0.000609253
390.38,-2.70899e-08,-1.60661e-05,5.12472e-11,-87.433,3.22733e-12,-0.000572606,0.000609163
390.39,-2.70896e-08,-1.60661e-05,5.12397e-11,-87.4331,3.22684e-12,-0.00057252,0.000609073
390.4,-2.70893e-08,-1.60662e-05,5.12322e-11,-87.4331,3.22636e-12,-0.000572433,0.000608984
390.41,-2.70891e-08,-1.60662e-05,5.12247e-11,-87.4331,3.22587e-12,-0.000572347,0.000608894
390.42,-2.70888e-08,-1.60662e-05,5.12172e-11,-87.4331,3.22538e-12,-0.00057226,0.000608804
390.43,-2.70885e-08,-1.60663e-05,5.12098e-11,-87.4332,3.22489e-12,-0.000572173,0.000608715
390.44,-2.70882e-08,-1.60663e-05,5.12023e-11,-87.4332,3.2244e-12,-0.000572087,0.000608625
390.45,-2.7088e-08,-1.60663e-05,5.11948e-11,-87.4332,3.22391e-12,-0.000572,0.000608535
390.46,-2.70877e-08,-1.60664e-05,5.11873e-11,-87.4332,3.22342e-12,-0.000571914,0.000608446
390.47,-2.70874e-08,-1.60664e-05,5.11798e-11,-87.4332,3.22293e-12,-0.000571827,0.000608356
390.48,-2.70872e-08,-1.60665e-05,5.11723e-11,-87.4333,3.22244e-12,-0.000571741,0.000608267
390.49,-2.70869e-08,-1.60665e-05,5.11648e-11,-87.4333,3.22195e-12,-0.000571654,0.000608177
390.5,-2.70866e-08,-1.60665e-05,5.11573e-11,-87.4333,3.22147e-12,-0.000571568,0.000608088
390.51,-2.70863e-08,-1.60666e-05,5.11499e-11,-87.4333,3.22098e-12,-0.000571481,0.000607998
390.52,-2.70861e-08,-1.60666e-05,5.11424e-11,-87.4333,3.22049e-12,-0.000571395,0.000607909
390.53,-2.70858e-08,-1.60667e-05,5.11349e-11,-87.4334,3.22e-12,-0.000571308,0.000607819
390.54,-2.70855e-08,-1.60667e-05,5.11274e-11,-87.4334,3.21951e-12,-0.000571222,0.00060773
390.55,-2.70853e-08,-1.60667e-05,5.11199e-11,-87.4334,3.21902e-12,-0.000571135,0.00060764
390.56,-2.7085e-08,-1.60668e-05,5.11124e-11,-87.4334,3.21854e-12,-0.000571049,0.000607551
390.57,-2.70847e-08,-1.60668e-05,5.1105e-11,-87.4334,3.21805e-12,-0.000570962,0.000607461
390.58,-2.70844e-08,-1.60668e-05,5.10975e-11,-87.4335,3.21756e-12,-0.000570876,0.000607372
390.59,-2.70842e-08,-1.60669e-05,5.109e-11,-87.4335,3.21707e-12,-0.00057079,0.000607282
390.6,-2.70839e-08,-1.60669e-05,5.10825e-11,-87.4335,3.21658e-12,-0.000570703,0.000607193
390.61,-2.70836e-08,-1.6067e-05,5.10751e-11,-87.4335,3.2161e-12,-0.000570617,0.000607103
390.62,-2.70834e-08,-1.6067e-05,5.10676e-11,-87.4335,3.21561e-12,-0.000570531,0.000607014
390.63,-2.70831e-08,-1.6067e-05,5.10601e-11,-87.4336,3.21512e-12,-0.000570444,0.000606925
390.64,-2.70828e-08,-1.60671e-05,5.10527e-11,-87.4336,3.21463e-12,-0.000570358,0.000606835
390.65,-2.70826e-08,-1.60671e-05,5.10452e-11,-87.4336,3.21415e-12,-0.000570272,0.000606746
390.66,-2.70823e-08,-1.60671e-05,5.10377e-11,-87.4336,3.21366e-12,-0.000570185,0.000606657
390.67,-2.7082e-08,-1.60672e-05,5.10303e-11,-87.4336,3.21317e-12,-0.000570099,0.000606567
390.68,-2.70817e-08,-1.60672e-05,5.10228e-11,-87.4337,3.21268e-12,-0.000570013,0.000606478
390.69,-2.70815e-08,-1.60673e-05,5.10153e-11,-87.4337,3.2122e-12,-0.000569927,0.000606389
390.7,-2.70812e-08,-1.60673e-05,5.10079e-11,-87.4337,3.21171e-12,-0.00056984,0.000606299
390.71,-2.70809e-08,-1.60673e-05,5.10004e-11,-87.4337,3.21122e-12,-0.000569754,0.00060621
390.72,-2.70807e-08,-1.60674e-05,5.09929e-11,-87.4337,3.21074e-12,-0.000569668,0.000606121
390.73,-2.70804e-08,-1.60674e-05,5.09855e-11,-87.4338,3.21025e-12,-0.000569582,0.000606032
390.74,-2.70801e-08,-1.60674e-05,5.0978e-11,-87.4338,3.20976e-12,-0.000569495,0.000605943
390.75,-2.70799e-08,-1.60675e-05,5.09706e-11,-87.4338,3.20928e-12,-0.000569409,0.000605853
390.76,-2.70796e-08,-1.60675e-05,5.09631e-11,-87.4338,3.20879e-12,-0.000569323,0.000605764
390.77,-2.70793e-08,-1.60676e-05,5.09557e-11,-87.4338,3.2083e-12,-0.000569237,0.000605675
390.78,-2.7079e-08,-1.60676e-05,5.09482e-11,-87.4339,3.20782e-12,-0.000569151,0.000605586
390.79,-2.70788e-08,-1.60676e-05,5.09407e-11,-87.4339,3.20733e-12,-0.000569065,0.000605497
390.8,-2.70785e-08,-1.60677e-05,5.09333e-11,-87.4339,3.20684e-12,-0.000568979,0.000605407
390.81,-2.70782e-08,-1.60677e-05,5.09258e-11,-87.4339,3.20636e-12,-0.000568892,0.000605318
390.82,-2.7078e-08,-1.60677e-05,5.09184e-11,-87.4339,3.20587e-12,-0.000568806,0.000605229
390.83,-2.70777e-08,-1.60678e-05,5.09109e-11,-87.434,3.20538e-12,-0.00056872,0.00060514
390.84,-2.70774e-08,-1.60678e-05,5.09035e-11,-87.434,3.2049e-12,-0.000568634,0.000605051
390.85,-2.70772e-08,-1.60679e-05,5.0896e-11,-87.434,3.20441e-12,-0.000568548,0.000604962
390.86,-2.70769e-08,-1.60679e-05,5.08886e-11,-87.434,3.20393e-12,-0.000568462,0.000604873
390.87,-2.70766e-08,-1.60679e-05,5.08812e-11,-87.434,3.20344e-12,-0.000568376,0.000604784
390.88,-2.70763e-08,-1.6068e-05,5.08737e-11,-87.4341,3.20296e-12,-0.00056829,0.000604695
390.89,-2.70761e-08,-1.6068e-05,5.08663e-11,-87.4341,3.20247e-12,-0.000568204,0.000604606
390.9,-2.70758e-08,-1.6068e-05,5.08588e-11,-87.4341,3.20198e-12,-0.000568118,0.000604517
390.91,-2.70755e-08,-1.60681e-05,5.08514e-11,-87.4341,3.2015e-12,-0.000568032,0.000604428
390.92,-2.70753e-08,-1.60681e-05,5.08439e-11,-87.4341,3.20101e-12,-0.000567946,0.000604339
390.93,-2.7075e-08,-1.60682e-05,5.08365e-11,-87.4342,3.20053e-12,-0.00056786,0.00060425
390.94,-2.70747e-08,-1.60682e-05,5.08291e-11,-87.4342,3.20004e-12,-0.000567774,0.000604161
390.95,-2.70745e-08,-1.60682e-05,5.08216e-11,-87.4342,3.19956e-12,-0.000567688,0.000604072
390.96,-2.70742e-08,-1.60683e-05,5.08142e-11,-87.4342,3.19907e-12,-0.000567602,0.000603983
390.97,-2.70739e-08,-1.60683e-05,5.08068e-11,-87.4343,3.19859e-12,-0.000567517,0.000603894
390.98,-2.70736e-08,-1.60683e-05,5.07993e-11,-87.4343,3.1981e-12,-0.000567431,0.000603805
390.99,-2.70734e-08,-1.60684e-05,5.07919e-11,-87.4343,3.19762e-12,-0.000567345,0.000603716
391,-2.70731e-08,-1.60684e-05,5.07845e-11,-87.4343,3.19713e-12,-0.000567259,0.000603627
391.01,-2.70728e-08,-1.60685e-05,5.0777e-11,-87.4343,3.19665e-12,-0.000567173,0.000603538
391.02,-2.70726e-08,-1.60685e-05,5.07696e-11,-87.4344,3.19616e-12,-0.000567087,0.00060345
391.03,-2.70723e-08,-1.60685e-05,5.07622e-11,-87.4344,3.19568e-12,-0.000567001,0.000603361
391.04,-2.7072e-08,-1.60686e-05,5.07548e-11,-87.4344,3.19519e-12,-0.000566916,0.000603272
391.05,-2.70718e-08,-1.60686e-05,5.07473e-11,-87.4344,3.19471e-12,-0.00056683,0.000603183
391.06,-2.70715e-08,-1.60686e-05,5.07399e-11,-87.4344,3.19423e-12,-0.000566744,0.000603094
391.07,-2.70712e-08,-1.60687e-05,5.07325e-11,-87.4345,3.19374e-12,-0.000566658,0.000603006
391.08,-2.70709e-08,-1.60687e-05,5.07251e-11,-87.4345,3.19326e-12,-0.000566573,0.000602917
391.09,-2.70707e-08,-1.60688e-05,5.07176e-11,-87.4345,3.19277e-12,-0.000566487,0.000602828
391.1,-2.70704e-08,-1.60688e-05,5.07102e-11,-87.4345,3.19229e-12,-0.000566401,0.000602739
391.11,-2.70701e-08,-1.60688e-05,5.07028e-11,-87.4345,3.19181e-12,-0.000566315,0.00060265
391.12,-2.70699e-08,-1.60689e-05,5.06954e-11,-87.4346,3.19132e-12,-0.00056623,0.000602562
391.13,-2.70696e-08,-1.60689e-05,5.0688e-11,-87.4346,3.19084e-12,-0.000566144,0.000602473
391.14,-2.70693e-08,-1.60689e-05,5.06806e-11,-87.4346,3.19035e-12,-0.000566058,0.000602384
391.15,-2.70691e-08,-1.6069e-05,5.06731e-11,-87.4346,3.18987e-12,-0.000565973,0.000602296
391.16,-2.70688e-08,-1.6069e-05,5.06657e-11,-87.4346,3.18939e-12,-0.000565887,0.000602207
391.17,-2.70685e-08,-1.60691e-05,5.06583e-11,-87.4347,3.1889e-12,-0.000565801,0.000602118
391.18,-2.70683e-08,-1.60691e-05,5.06509e-11,-87.4347,3.18842e-12,-0.000565716,0.00060203
391.19,-2.7068e-08,-1.60691e-05,5.06435e-11,-87.4347,3.18794e-12,-0.00056563,0.000601941
391.2,-2.70677e-08,-1.60692e-05,5.06361e-11,-87.4347,3.18745e-12,-0.000565545,0.000601852
