environment | time (ms),fast_sodium_current | i_Na (uA_per_mm2),L_type_Ca_channel | i_CaCa (uA_per_mm2),L_type_Ca_channel | i_CaK (uA_per_mm2),membrane | V (mV),plateau_potassium_current | i_Kp (uA_per_mm2),time_dependent_potassium_current | i_K (uA_per_mm2),time_independent_potassium_current | i_K1 (uA_per_mm2)
2.15,-0.000263121,-0.0531737,0.0365122,48.0895,0.024798,7.8891e-06,3.044e-13
2.16,-0.000243094,-0.0533221,0.0365938,48.0816,0.0247965,8.02991e-06,3.05146e-13
2.17,-0.000224593,-0.0534678,0.0366736,48.0738,0.024795,8.17195e-06,3.05889e-13
2.18,-0.000207499,-0.0536108,0.0367515,48.0661,0.0247936,8.31521e-06,3.06629e-13
2.19,-0.000191703,-0.0537512,0.0368277,48.0584,0.0247921,8.4597e-06,3.07366e-13
2.2,-0.000177115,-0.0538889,0.0369021,48.0507,0.0247907,8.60542e-06,3.081e-13
2.21,-0.000163642,-0.0540241,0.0369748,48.0431,0.0247893,8.75236e-06,3.08832e-13
2.22,-0.000151198,-0.0541568,0.0370458,48.0355,0.0247879,8.90052e-06,3.0956e-13
2.23,-0.000139702,-0.054287,0.0371152,48.028,0.0247865,9.04991e-06,3.10284e-13
2.24,-0.000129076,-0.0544148,0.037183,48.0206,0.0247851,9.20053e-06,3.11006e-13
2.25,-0.000119267,-0.0545403,0.0372492,48.0132,0.0247837,9.35236e-06,3.11724e-13
2.26,-0.000110224,-0.0546634,0.0373139,48.0058,0.0247823,9.50542e-06,3.1244e-13
2.27,-0.000101873,-0.0547843,0.0373771,47.9985,0.0247809,9.65971e-06,3.13152e-13
2.28,-9.41577e-05,-0.0549029,0.0374388,47.9912,0.0247796,9.81521e-06,3.1386e-13
2.29,-8.70188e-05,-0.0550193,0.0374991,47.984,0.0247782,9.97194e-06,3.14565e-13
2.3,-8.04131e-05,-0.0551335,0.037558,47.9769,0.0247769,1.01299e-05,3.15267e-13
2.31,-7.43398e-05,-0.0552456,0.0376155,47.9698,0.0247755,1.02891e-05,3.15966e-13
2.32,-6.87298e-05,-0.0553557,0.0376717,47.9627,0.0247742,1.04494e-05,3.16661e-13
2.33,-6.35429e-05,-0.0554637,0.0377265,47.9557,0.0247729,1.06111e-05,3.17353e-13
2.34,-5.87399e-05,-0.0555697,0.03778,47.9487,0.0247716,1.07739e-05,3.18041e-13
2.35,-5.42817e-05,-0.0556737,0.0378323,47.9418,0.0247703,1.09379e-05,3.18727e-13
2.36,-5.01814e-05,-0.0557758,0.0378833,47.935,0.024769,1.11032e-05,3.19408e-13
2.37,-4.63917e-05,-0.055876,0.0379331,47.9282,0.0247677,1.12697e-05,3.20087e-13
2.38,-4.28857e-05,-0.0559744,0.0379818,47.9214,0.0247665,1.14374e-05,3.20762e-13
2.39,-3.96397e-05,-0.0560709,0.0380292,47.9147,0.0247652,1.16063e-05,3.21434e-13
2.4,-3.66311e-05,-0.0561656,0.0380755,47.908,0.0247639,1.17764e-05,3.22103e-13
2.41,-3.38497e-05,-0.0562586,0.0381207,47.9014,0.0247627,1.19478e-05,3.22768e-13
2.42,-3.12808e-05,-0.0563499,0.0381649,47.8948,0.0247615,1.21204e-05,3.2343e-13
2.43,-2.89048e-05,-0.0564395,0.0382079,47.8883,0.0247602,1.22942e-05,3.24089e-13
